AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
2017-18,38,5.9,5.5,,5.5,5.5,11,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""819""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""830""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""51""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""584""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2017-18,39,6.0,5.6,,5.5,5.5,14,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""814""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""828""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""50""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""962""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",> 100%
2016-17,40,6.3,6.0,,5.5,5.5,6,775,0,781,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""14""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""073""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",29.6%,,
2016-17,41,6.4,6.1,,5.9,5.9,4,853,0,857,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""14""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""578""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",30.6%,,
2016-17,42,6.5,6.1,,5.8,5.8,2,829,0,831,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""14""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""388""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",30.2%,,
2016-17,43,6.6,6.3,,5.9,5.9,4,885,0,889,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""15""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""193""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",31.9%,,
2016-17,44,6.7,6.4,,5.5,5.5,8,885,0,893,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""16""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""148""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",33.9%,,
2016-17,45,6.8,6.5,,5.9,5.9,3,960,0,963,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""16""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""423""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",34.5%,,
2016-17,46,6.9,6.6,,5.5,5.5,2,903,0,905,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""16""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""395""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",34.5%,,
2016-17,47,7.1,6.7,,5.6,5.6,5,906,0,911,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""16""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""192""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",34%,,
2016-17,48,7.2,6.8,,5.8,5.8,12,997,0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""1""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""009""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""17""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""253""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",36.3%,
2016-17,49,7.3,6.9,,6.4,6.4,8,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""1""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""186""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""1""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""194""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""18""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""770""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",39.4%
2016-17,50,7.4,7.0,,6.4,6.4,18,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""1""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""260""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",0,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""1""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""278""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""19""""""""""""""""""""""""""""""","""""""""""""""""""""""""""""""823""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",41.7%
