"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
1,3,0.985222,0.246305,0.738916
6,4,1.42045,0.852273,0.568182
7,8,2.06327,0.962861,1.10041
3,5,2.25989,0.847458,1.41243
3,2,1.3624,0.817439,0.544959
8,9,1.60985,0.757576,0.852273
0,2,0.359712,0,0.359712
20,55,4.39883,1.17302,3.22581
4,3,0.590219,0.337268,0.252951
14,20,2.37264,0.976971,1.39567
0,0,0,0,0
1,0,0.164474,0.164474,0
6,3,1.31387,0.875912,0.437956
3,0,0.817439,0.817439,0
1,2,1.01351,0.337838,0.675676
2,8,1.02249,0.204499,0.817996
0,1,0.181159,0,0.181159
17,49,4.35644,1.12211,3.23432
3,3,0.55607,0.278035,0.278035
15,15,2.52313,1.26156,1.26156
0,0,0,0,0
2,2,0.742115,0.371058,0.371058
1,3,0.572246,0.143062,0.429185
3,0,1.04167,1.04167,0
1,0,0.373134,0.373134,0
1,2,0.333704,0.111235,0.222469
0,3,0.678733,0,0.678733
13,27,3.38983,1.10169,2.28814
1,2,0.352526,0.117509,0.235018
3,12,1.70261,0.340522,1.36209
0,1,0.323625,0,0.323625
2,0,0.346021,0.346021,0
4,4,1.26582,0.632911,0.632911
1,0,0.387597,0.387597,0
1,0,0.406504,0.406504,0
2,1,0.404858,0.269906,0.134953
1,3,1.00251,0.250627,0.75188
12,17,2.40265,0.9942,1.40845
0,1,0.124378,0,0.124378
4,4,0.776699,0.38835,0.38835
0,3,0.879765,0,0.879765
2,0,0.369004,0.369004,0
1,0,0.258398,0.258398,0
1,1,0.711744,0.355872,0.355872
0,0,0,0,0
2,2,0.531915,0.265957,0.265957
0,1,0.209644,0,0.209644
11,8,1.65794,0.95986,0.69808
1,1,0.203666,0.101833,0.101833
6,11,1.76349,0.622407,1.14108
1,1,0.643087,0.321543,0.321543
1,1,0.35524,0.17762,0.17762
2,6,1.26183,0.315457,0.946372
0,0,0,0,0
1,1,2.10526,1.05263,1.05263
0,3,0.426743,0,0.426743
0,0,0,0,0
7,17,2.13333,0.622222,1.51111
2,0,0.248139,0.248139,0
2,3,0.550661,0.220264,0.330396
1,1,0.687285,0.343643,0.343643
3,1,0.767754,0.575816,0.191939
7,0,1.02339,1.02339,0
1,0,0.387597,0.387597,0
0,0,0,0,0
1,0,0.140252,0.140252,0
0,0,0,0,0
10,16,2.32975,0.896057,1.43369
2,0,0.247219,0.247219,0
4,7,1.24434,0.452489,0.791855
0,0,0,0,0
0,0,0,0,0
2,1,0.527241,0.351494,0.175747
1,1,0.77821,0.389105,0.389105
0,1,0.492611,0,0.492611
0,0,0,0,0
1,0,0.220751,0.220751,0
12,11,2.10238,1.09689,1.00548
7,1,0.986436,0.863132,0.123305
5,6,1.39594,0.634518,0.761421
0,0,0,0,0
5,0,0.910747,0.910747,0
2,1,0.529101,0.352734,0.176367
1,0,0.440529,0.440529,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11,21,2.70957,0.931414,1.77815
3,0,0.334076,0.334076,0
4,4,1.00376,0.501882,0.501882
0,0,0,0,0
1,0,0.196464,0.196464,0
1,5,1.23711,0.206186,1.03093
2,0,0.790514,0.790514,0
1,0,0.531915,0.531915,0
5,1,0.882353,0.735294,0.147059
1,0,0.225225,0.225225,0
