Influenza_Season,Start_Date,End_Date,Reporting_Timeframe,Week,Week_Sort_Order,Current_Season_Week_Ending_Label,Cumulative_Flu_Doses,Current_Through
2019-2020,1/19/2020,1/25/2020,2020-01-19 - 2020-01-25,3,26,1/27/2024,173.82,3/9/2024
2019-2020,1/26/2020,2/1/2020,2020-01-26 - 2020-02-01,4,27,2/3/2024,174.2,3/9/2024
2019-2020,2/2/2020,2/8/2020,2020-02-02 - 2020-02-08,5,28,2/10/2024,174.52,3/9/2024
2019-2020,2/9/2020,2/15/2020,2020-02-09 - 2020-02-15,6,29,2/17/2024,174.77,3/9/2024
2019-2020,2/16/2020,2/22/2020,2020-02-16 - 2020-02-22,7,30,2/24/2024,174.95,3/9/2024
2019-2020,2/23/2020,2/29/2020,2020-02-23 - 2020-02-29,8,31,3/2/2024,175.13,3/9/2024
2019-2020,3/1/2020,3/7/2020,2020-03-01 - 2020-03-07,9,32,3/9/2024,175.15,3/9/2024
2020-2021,7/26/2020,8/1/2020,2020-07-26 - 2020-08-01,30,1,7/29/2023,0.5,3/9/2024
2020-2021,8/2/2020,8/8/2020,2020-08-02 - 2020-08-08,31,2,8/5/2023,5.2,3/9/2024
2020-2021,8/9/2020,8/15/2020,2020-08-09 - 2020-08-15,32,3,8/12/2023,12.74,3/9/2024
2020-2021,8/16/2020,8/22/2020,2020-08-16 - 2020-08-22,33,4,8/19/2023,24.92,3/9/2024
2020-2021,8/23/2020,8/29/2020,2020-08-23 - 2020-08-29,34,5,8/26/2023,39.86,3/9/2024
2020-2021,8/30/2020,9/5/2020,2020-08-30 - 2020-09-05,35,6,9/2/2023,57.94,3/9/2024
2020-2021,9/6/2020,9/12/2020,2020-09-06 - 2020-09-12,36,7,9/9/2023,72.01,3/9/2024
2020-2021,9/13/2020,9/19/2020,2020-09-13 - 2020-09-19,37,8,9/16/2023,88.48,3/9/2024
2020-2021,9/20/2020,9/26/2020,2020-09-20 - 2020-09-26,38,9,9/23/2023,106.57,3/9/2024
2020-2021,9/27/2020,10/3/2020,2020-09-27 - 2020-10-03,39,10,9/30/2023,125.33,3/9/2024
2020-2021,10/4/2020,10/10/2020,2020-10-04 - 2020-10-10,40,11,10/7/2023,140.62,3/9/2024
2020-2021,10/11/2020,10/17/2020,2020-10-11 - 2020-10-17,41,12,10/14/2023,155.75,3/9/2024
2020-2021,10/18/2020,10/24/2020,2020-10-18 - 2020-10-24,42,13,10/21/2023,165.46,3/9/2024
2020-2021,10/25/2020,10/31/2020,2020-10-25 - 2020-10-31,43,14,10/28/2023,173.23,3/9/2024
2020-2021,11/1/2020,11/7/2020,2020-11-01 - 2020-11-07,44,15,11/4/2023,180.55,3/9/2024
2020-2021,11/8/2020,11/14/2020,2020-11-08 - 2020-11-14,45,16,11/11/2023,183.59,3/9/2024
2020-2021,11/15/2020,11/21/2020,2020-11-15 - 2020-11-21,46,17,11/18/2023,187.33,3/9/2024
2020-2021,11/22/2020,11/28/2020,2020-11-22 - 2020-11-28,47,18,11/25/2023,188.44,3/9/2024
2020-2021,11/29/2020,12/5/2020,2020-11-29 - 2020-12-05,48,19,12/2/2023,189.84,3/9/2024
2020-2021,12/6/2020,12/12/2020,2020-12-06 - 2020-12-12,49,20,12/9/2023,190.76,3/9/2024
2020-2021,12/13/2020,12/19/2020,2020-12-13 - 2020-12-19,50,21,12/16/2023,192.59,3/9/2024
2020-2021,12/20/2020,12/26/2020,2020-12-20 - 2020-12-26,51,22,12/23/2023,192.72,3/9/2024
2020-2021,12/27/2020,1/2/2021,2020-12-27 - 2021-01-02,52,23,12/30/2023,192.91,3/9/2024
2020-2021,1/3/2021,1/9/2021,2021-01-03 - 2021-01-09,1,24,1/6/2024,193.37,3/9/2024
2020-2021,1/10/2021,1/16/2021,2021-01-10 - 2021-01-16,2,25,1/13/2024,193.57,3/9/2024
2020-2021,1/17/2021,1/23/2021,2021-01-17 - 2021-01-23,3,26,1/20/2024,193.73,3/9/2024
2020-2021,1/24/2021,1/30/2021,2021-01-24 - 2021-01-30,4,27,1/27/2024,193.86,3/9/2024
2020-2021,1/31/2021,2/6/2021,2021-01-31 - 2021-02-06,5,28,2/3/2024,193.98,3/9/2024
2020-2021,2/7/2021,2/13/2021,2021-02-07 - 2021-02-13,6,29,2/10/2024,194.07,3/9/2024
2020-2021,2/14/2021,2/20/2021,2021-02-14 - 2021-02-20,7,30,2/17/2024,194.08,3/9/2024
2020-2021,2/21/2021,2/27/2021,2021-02-21 - 2021-02-27,8,31,2/24/2024,194.2,3/9/2024
2020-2021,2/28/2021,3/6/2021,2021-02-28 - 2021-03-06,9,32,3/2/2024,194.39,3/9/2024
2021-2022,7/25/2021,7/31/2021,2021-07-25 - 2021-07-31,30,1,7/29/2023,0.99,3/9/2024
2021-2022,8/1/2021,8/7/2021,2021-08-01 - 2021-08-07,31,2,8/5/2023,6.2,3/9/2024
2021-2022,8/8/2021,8/14/2021,2021-08-08 - 2021-08-14,32,3,8/12/2023,12.72,3/9/2024
2021-2022,8/15/2021,8/21/2021,2021-08-15 - 2021-08-21,33,4,8/19/2023,25.27,3/9/2024
2021-2022,8/22/2021,8/28/2021,2021-08-22 - 2021-08-28,34,5,8/26/2023,40.71,3/9/2024
2021-2022,8/29/2021,9/4/2021,2021-08-29 - 2021-09-04,35,6,9/2/2023,53.86,3/9/2024
2021-2022,9/5/2021,9/11/2021,2021-09-05 - 2021-09-11,36,7,9/9/2023,67.54,3/9/2024
2021-2022,9/12/2021,9/18/2021,2021-09-12 - 2021-09-18,37,8,9/16/2023,86.09,3/9/2024
2021-2022,9/19/2021,9/25/2021,2021-09-19 - 2021-09-25,38,9,9/23/2023,102.01,3/9/2024
2021-2022,9/26/2021,10/2/2021,2021-09-26 - 2021-10-02,39,10,9/30/2023,115.29,3/9/2024
2021-2022,10/3/2021,10/9/2021,2021-10-03 - 2021-10-09,40,11,10/7/2023,129.16,3/9/2024
2021-2022,10/10/2021,10/16/2021,2021-10-10 - 2021-10-16,41,12,10/14/2023,140.33,3/9/2024
2021-2022,10/17/2021,10/23/2021,2021-10-17 - 2021-10-23,42,13,10/21/2023,150.65,3/9/2024
2021-2022,10/24/2021,10/30/2021,2021-10-24 - 2021-10-30,43,14,10/28/2023,159.25,3/9/2024
2021-2022,10/31/2021,11/6/2021,2021-10-31 - 2021-11-06,44,15,11/4/2023,163.05,3/9/2024
2021-2022,11/7/2021,11/13/2021,2021-11-07 - 2021-11-13,45,16,11/11/2023,165.77,3/9/2024
2021-2022,11/14/2021,11/20/2021,2021-11-14 - 2021-11-20,46,17,11/18/2023,167.74,3/9/2024
2021-2022,11/21/2021,11/27/2021,2021-11-21 - 2021-11-27,47,18,11/25/2023,168.39,3/9/2024
2021-2022,11/28/2021,12/4/2021,2021-11-28 - 2021-12-04,48,19,12/2/2023,169.71,3/9/2024
2021-2022,12/5/2021,12/11/2021,2021-12-05 - 2021-12-11,49,20,12/9/2023,170.76,3/9/2024
2021-2022,12/12/2021,12/18/2021,2021-12-12 - 2021-12-18,50,21,12/16/2023,172.63,3/9/2024
2021-2022,12/19/2021,12/25/2021,2021-12-19 - 2021-12-25,51,22,12/23/2023,173.15,3/9/2024
2021-2022,12/26/2021,1/1/2022,2021-12-26 - 2022-01-01,52,23,12/30/2023,173.34,3/9/2024
2021-2022,1/2/2022,1/8/2022,2022-01-02 - 2022-01-08,1,24,1/6/2024,173.88,3/9/2024
2021-2022,1/9/2022,1/15/2022,2022-01-09 - 2022-01-15,2,25,1/13/2024,174.38,3/9/2024
2021-2022,1/16/2022,1/22/2022,2022-01-16 - 2022-01-22,3,26,1/20/2024,174.73,3/9/2024
2021-2022,1/23/2022,1/29/2022,2022-01-23 - 2022-01-29,4,27,1/27/2024,174.93,3/9/2024
2021-2022,1/30/2022,2/5/2022,2022-01-30 - 2022-02-05,5,28,2/3/2024,175.06,3/9/2024
2021-2022,2/6/2022,2/12/2022,2022-02-06 - 2022-02-12,6,29,2/10/2024,175.25,3/9/2024
2021-2022,2/13/2022,2/19/2022,2022-02-13 - 2022-02-19,7,30,2/17/2024,175.4,3/9/2024
2021-2022,2/20/2022,2/26/2022,2022-02-20 - 2022-02-26,8,31,2/24/2024,175.53,3/9/2024
2021-2022,2/27/2022,3/5/2022,2022-02-27 - 2022-03-05,9,32,3/2/2024,175.62,3/9/2024
2022-2023,7/24/2022,7/30/2022,2022-07-24 - 2022-07-30,30,1,7/29/2023,6.53,3/9/2024
2022-2023,7/31/2022,8/6/2022,2022-07-31 - 2022-08-06,31,2,8/5/2023,10.37,3/9/2024
2022-2023,8/7/2022,8/13/2022,2022-08-07 - 2022-08-13,32,3,8/12/2023,15.36,3/9/2024
2022-2023,8/14/2022,8/20/2022,2022-08-14 - 2022-08-20,33,4,8/19/2023,20.7,3/9/2024
2022-2023,8/21/2022,8/27/2022,2022-08-21 - 2022-08-27,34,5,8/26/2023,29.83,3/9/2024
2022-2023,8/28/2022,9/3/2022,2022-08-28 - 2022-09-03,35,6,9/2/2023,38.21,3/9/2024
2022-2023,9/4/2022,9/10/2022,2022-09-04 - 2022-09-10,36,7,9/9/2023,47.06,3/9/2024
2022-2023,9/11/2022,9/17/2022,2022-09-11 - 2022-09-17,37,8,9/16/2023,71.44,3/9/2024
2022-2023,9/18/2022,9/24/2022,2022-09-18 - 2022-09-24,38,9,9/23/2023,91.24,3/9/2024
2022-2023,9/25/2022,10/1/2022,2022-09-25 - 2022-10-01,39,10,9/30/2023,105.77,3/9/2024
2022-2023,10/2/2022,10/8/2022,2022-10-02 - 2022-10-08,40,11,10/7/2023,115.81,3/9/2024
2022-2023,10/9/2022,10/15/2022,2022-10-09 - 2022-10-15,41,12,10/14/2023,128.43,3/9/2024
2022-2023,10/16/2022,10/22/2022,2022-10-16 - 2022-10-22,42,13,10/21/2023,136.95,3/9/2024
2022-2023,10/23/2022,10/29/2022,2022-10-23 - 2022-10-29,43,14,10/28/2023,145.77,3/9/2024
2022-2023,10/30/2022,11/5/2022,2022-10-30 - 2022-11-05,44,15,11/4/2023,150.17,3/9/2024
2022-2023,11/6/2022,11/12/2022,2022-11-06 - 2022-11-12,45,16,11/11/2023,152.24,3/9/2024
2022-2023,11/13/2022,11/19/2022,2022-11-13 - 2022-11-19,46,17,11/18/2023,154.1,3/9/2024
2022-2023,11/20/2022,11/26/2022,2022-11-20 - 2022-11-26,47,18,11/25/2023,154.97,3/9/2024
2022-2023,11/27/2022,12/3/2022,2022-11-27 - 2022-12-03,48,19,12/2/2023,156.42,3/9/2024
2022-2023,12/4/2022,12/10/2022,2022-12-04 - 2022-12-10,49,20,12/9/2023,157.61,3/9/2024
2022-2023,12/11/2022,12/17/2022,2022-12-11 - 2022-12-17,50,21,12/16/2023,169.75,3/9/2024
2022-2023,12/18/2022,12/24/2022,2022-12-18 - 2022-12-24,51,22,12/23/2023,170.37,3/9/2024
2022-2023,12/25/2022,12/31/2022,2022-12-25 - 2022-12-31,52,23,12/30/2023,170.71,3/9/2024
2022-2023,1/1/2023,1/7/2023,2023-01-01 - 2023-01-07,1,24,1/6/2024,171.19,3/9/2024
2022-2023,1/8/2023,1/14/2023,2023-01-08 - 2023-01-14,2,25,1/13/2024,171.52,3/9/2024
2022-2023,1/15/2023,1/21/2023,2023-01-15 - 2023-01-21,3,26,1/20/2024,171.8,3/9/2024
2022-2023,1/22/2023,1/28/2023,2023-01-22 - 2023-01-28,4,27,1/27/2024,171.97,3/9/2024
2022-2023,1/29/2023,2/4/2023,2023-01-29 - 2023-02-04,5,28,2/3/2024,172.76,3/9/2024
2022-2023,2/5/2023,2/11/2023,2023-02-05 - 2023-02-11,6,29,2/10/2024,173.02,3/9/2024
2022-2023,2/12/2023,2/18/2023,2023-02-12 - 2023-02-18,7,30,2/17/2024,173.16,3/9/2024
2022-2023,2/19/2023,2/25/2023,2023-02-19 - 2023-02-25,8,31,2/24/2024,173.26,3/9/2024
2022-2023,2/26/2023,3/4/2023,2023-02-26 - 2023-03-04,9,32,3/2/2024,173.37,3/9/2024
2023-2024,7/23/2023,7/29/2023,2023-07-23 - 2023-07-29,30,1,7/29/2023,4.65,3/9/2024
2023-2024,7/30/2023,8/5/2023,2023-07-30 - 2023-08-05,31,2,8/5/2023,12.17,3/9/2024
2023-2024,8/6/2023,8/12/2023,2023-08-06 - 2023-08-12,32,3,8/12/2023,19.21,3/9/2024
2023-2024,8/13/2023,8/19/2023,2023-08-13 - 2023-08-19,33,4,8/19/2023,30.38,3/9/2024
2023-2024,8/20/2023,8/26/2023,2023-08-20 - 2023-08-26,34,5,8/26/2023,42.93,3/9/2024
2023-2024,8/27/2023,9/2/2023,2023-08-27 - 2023-09-02,35,6,9/2/2023,54.54,3/9/2024
2023-2024,9/3/2023,9/9/2023,2023-09-03 - 2023-09-09,36,7,9/9/2023,68.65,3/9/2024
2023-2024,9/10/2023,9/16/2023,2023-09-10 - 2023-09-16,37,8,9/16/2023,83.59,3/9/2024
2023-2024,9/17/2023,9/23/2023,2023-09-17 - 2023-09-23,38,9,9/23/2023,100.51,3/9/2024
2023-2024,9/24/2023,9/30/2023,2023-09-24 - 2023-09-30,39,10,9/30/2023,116.29,3/9/2024
2023-2024,10/1/2023,10/7/2023,2023-10-01 - 2023-10-07,40,11,10/7/2023,128.35,3/9/2024
2023-2024,10/8/2023,10/14/2023,2023-10-08 - 2023-10-14,41,12,10/14/2023,136.94,3/9/2024
2023-2024,10/15/2023,10/21/2023,2023-10-15 - 2023-10-21,42,13,10/21/2023,142.16,3/9/2024
2023-2024,10/22/2023,10/28/2023,2023-10-22 - 2023-10-28,43,14,10/28/2023,145.42,3/9/2024
2023-2024,10/29/2023,11/4/2023,2023-10-29 - 2023-11-04,44,15,11/4/2023,147.47,3/9/2024
2023-2024,11/5/2023,11/11/2023,2023-11-05 - 2023-11-11,45,16,11/11/2023,148.95,3/9/2024
2023-2024,11/12/2023,11/18/2023,2023-11-12 - 2023-11-18,46,17,11/18/2023,150.63,3/9/2024
2023-2024,11/19/2023,11/25/2023,2023-11-19 - 2023-11-25,47,18,11/25/2023,151.3,3/9/2024
2023-2024,11/26/2023,12/2/2023,2023-11-26 - 2023-12-02,48,19,12/2/2023,152.42,3/9/2024
2023-2024,12/3/2023,12/9/2023,2023-12-03 - 2023-12-09,49,20,12/9/2023,153.62,3/9/2024
2023-2024,12/10/2023,12/16/2023,2023-12-10 - 2023-12-16,50,21,12/16/2023,154.38,3/9/2024
2023-2024,12/17/2023,12/23/2023,2023-12-17 - 2023-12-23,51,22,12/23/2023,155.2,3/9/2024
2023-2024,12/24/2023,12/31/2023,2023-12-24 - 2023-12-31,52,23,12/30/2023,155.36,3/9/2024
2023-2024,1/1/2024,1/6/2024,2024-01-01 - 2024-01-06,1,24,1/6/2024,156.26,1/13/2024
2023-2024,1/1/2024,1/13/2024,2024-01-01 - 2024-01-13,1,25,1/13/2024,156.26,3/9/2024
2023-2024,1/14/2024,1/20/2024,2024-01-14 - 2024-01-20,2,25,1/20/2024,156.42,3/9/2024
2023-2024,1/21/2024,1/27/2024,2024-01-21 - 2024-01-27,3,26,1/27/2024,156.76,3/9/2024
2023-2024,1/28/2024,2/3/2024,2024-01-28 - 2024-02-03,4,27,2/3/2024,156.96,3/9/2024
2023-2024,2/4/2024,2/10/2024,2024-02-04 - 2024-02-10,5,28,2/10/2024,157.19,3/9/2024
2023-2024,2/11/2024,2/17/2024,2024-02-11 - 2024-02-17,6,29,2/17/2024,157.35,3/9/2024
2023-2024,2/18/2024,2/24/2024,2024-02-18 - 2024-02-24,7,30,2/24/2024,157.52,3/9/2024
2023-2024,2/25/2024,3/2/2024,2024-02-25 - 2024-03-02,8,31,3/2/2024,157.62,3/9/2024
2023-2024,3/3/2024,3/9/2024,2024-03-03 - 2024-03-09,9,32,3/9/2024,157.72,3/9/2024
