"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
133,17,17.06,15.13,1.93
12,0,7.02,7.02,0
442,218,19.35,12.96,6.39
96,18,20.36,17.14,3.21
20,13,17.93,10.87,7.07
10,1,14.67,13.33,1.33
X,X,X,X,X
X,X,X,X,X
71,25,12.83,9.49,3.34
377,100,13.24,10.46,2.77
21,18,9.49,5.11,4.38
171,21,27.08,24.12,2.96
951,323,19.2,14.33,4.87
92,10,18.25,16.46,1.79
468,87,11.7,9.87,1.83
120,38,16.7,12.68,4.02
X,X,X,X,X
82,34,12.51,8.85,3.67
21,2,11.27,10.29,0.98
28,8,21.69,16.87,4.82
509,145,12.56,9.78,2.79
368,67,18.88,15.97,2.91
85,20,22.48,18.2,4.28
157,35,22.35,18.28,4.07
245,20,8.31,7.69,0.63
200,50,20.53,16.42,4.11
1226,365,29.81,22.97,6.84
3,2,9.26,5.56,3.7
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
27,16,4.05,2.54,1.51
0,0,0,0,0
9,2,2.7,2.21,0.49
34,24,18.89,11.07,7.82
67,20,2.96,2.28,0.68
119,17,4.69,4.11,0.59
32,13,5.61,3.99,1.62
8,5,1.95,1.2,0.75
X,X,X,X,X
101,12,4.72,4.22,0.5
71,37,4.24,2.79,1.45
57,23,11.71,8.35,3.37
49,3,9.47,8.93,0.55
42,33,5.89,3.3,2.59
47,21,9.13,6.31,2.82
44,52,21.62,9.91,11.71
8,4,5.85,3.9,1.95
40,55,6.38,2.68,3.69
35,7,5.13,4.28,0.86
31,32,16.8,8.27,8.53
71,19,5.78,4.56,1.22
65,39,6.08,3.8,2.28
293,82,7.83,6.11,1.71
37,4,6.81,6.15,0.66
1,0,0.7,0.7,0
141,82,6.18,3.91,2.27
55,21,12.01,8.69,3.32
15,8,14.29,9.32,4.97
1,0,1.28,1.28,0
X,X,X,X,X
X,X,X,X,X
68,8,3,2.68,0.32
191,63,6.69,5.03,1.66
20,6,4.25,3.27,0.98
109,15,14.25,12.53,1.72
564,196,10.02,7.44,2.58
32,0,8.02,8.02,0
218,31,6.06,5.31,0.75
77,12,10.28,8.89,1.39
X,X,X,X,X
37,20,4.52,2.94,1.59
19,4,9.13,7.54,1.59
5,2,4.7,3.36,1.34
146,58,5.32,3.8,1.51
251,43,13.57,11.58,1.98
70,16,12.13,9.87,2.26
83,21,13.02,10.39,2.63
33,7,2.83,2.34,0.5
115,15,11.56,10.22,1.33
518,173,13.94,10.45,3.49
3,1,6.9,5.17,1.72
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
8,5,1.63,1.01,0.63
0,0,0,0,0
2,0,0.84,0.84,0
10,3,7.39,5.68,1.7
10,3,0.75,0.58,0.17
25,1,1.5,1.44,0.06
10,1,1.34,1.22,0.12
1,2,0.45,0.15,0.3
X,X,X,X,X
18,9,2.01,1.34,0.67
19,13,2,1.19,0.81
33,8,11.05,8.89,2.16
6,1,5.34,4.58,0.76
4,5,1.17,0.52,0.65
6,3,1.31,0.87,0.44
2,2,2.63,1.32,1.32
4,3,8.75,5,3.75
15,16,2.07,1,1.07
5,3,1.25,0.78,0.47
5,5,7.69,3.85,3.85
24,3,2.05,1.82,0.23
10,5,1.3,0.87,0.43
38,17,2.28,1.58,0.7
10,0,2.38,2.38,0
0,0,0,0,0
15,7,2.53,1.73,0.81
29,7,5.37,4.33,1.04
1,0,1.79,1.79,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
8,3,0.49,0.35,0.13
31,10,1.72,1.3,0.42
3,5,1.94,0.73,1.21
29,4,5.06,4.45,0.61
73,34,2.37,1.62,0.75
4,1,2.6,2.08,0.52
41,11,2.38,1.87,0.5
12,3,2.96,2.37,0.59
X,X,X,X,X
2,3,1.51,0.6,0.91
2,1,1.32,0.88,0.44
0,2,1.55,0,1.55
23,17,1.9,1.09,0.81
40,8,3.41,2.84,0.57
7,7,8.24,4.12,4.12
9,1,1.97,1.78,0.2
17,1,1.18,1.12,0.07
29,6,4.85,4.02,0.83
106,39,5.18,3.78,1.39
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,2,0.55,0.18,0.36
0,0,0,0,0
0,0,0,0,0
2,1,3.23,2.15,1.08
6,3,0.77,0.52,0.26
1,1,0.18,0.09,0.09
1,0,0.18,0.18,0
1,1,0.74,0.37,0.37
X,X,X,X,X
11,3,1.08,0.85,0.23
4,7,1.09,0.4,0.7
34,11,14.02,10.59,3.43
2,0,2.47,2.47,0
2,7,1.9,0.42,1.48
1,1,0.68,0.34,0.34
0,5,5.05,0,5.05
0,1,1.49,0,1.49
1,1,0.26,0.13,0.13
1,1,0.77,0.38,0.38
0,1,0.94,0,0.94
2,0,0.35,0.35,0
7,3,0.67,0.47,0.2
11,6,0.87,0.57,0.31
4,0,1.33,1.33,0
0,0,0,0,0
10,3,0.83,0.64,0.19
0,1,0.18,0,0.18
0,1,2.27,0,2.27
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
1,0,0.14,0.14,0
8,7,1.01,0.54,0.47
1,1,0.73,0.36,0.36
4,1,1.45,1.16,0.29
17,16,0.94,0.49,0.46
0,1,0.68,0,0.68
5,1,0.33,0.27,0.05
4,2,2.03,1.36,0.68
X,X,X,X,X
1,0,0.83,0.83,0
0,0,0,0,0
0,0,0,0,0
5,10,1.1,0.37,0.73
9,1,1.32,1.19,0.13
5,7,5.61,2.34,3.27
1,0,0.25,0.25,0
3,0,0.31,0.31,0
13,4,3.14,2.4,0.74
13,10,1.22,0.69,0.53
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,1,0.42,0.21,0.21
0,0,0,0,0
0,0,0,0,0
1,1,2.22,1.11,1.11
1,2,0.36,0.12,0.24
0,0,0,0,0
0,0,0,0,0
1,0,4,4,0
X,X,X,X,X
6,3,1,0.67,0.33
2,6,1.02,0.25,0.76
27,6,10.93,8.94,1.99
0,0,0,0,0
4,0,1.46,1.46,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,1,0.56,0.37,0.19
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,2,0.35,0.12,0.23
3,2,0.4,0.24,0.16
0,0,0,0,0
0,0,0,0,0
3,1,0.38,0.29,0.1
0,1,0.53,0,0.53
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,0,0.43,0.43,0
1,0,0.53,0.53,0
7,4,0.89,0.56,0.32
0,2,1.75,0,1.75
1,0,0.1,0.1,0
0,1,0.65,0,0.65
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,0,1.72,1.72,0
7,7,1.25,0.62,0.62
1,1,0.45,0.23,0.23
0,3,1.03,0,1.03
2,0,0.74,0.74,0
0,0,0,0,0
1,0,0.29,0.29,0
1,2,0.28,0.09,0.18
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,1,0.25,0,0.25
0,0,0,0,0
1,0,0.63,0.63,0
0,0,0,0,0
0,0,0,0,0
1,1,0.27,0.14,0.14
1,0,0.35,0.35,0
0,0,0,0,0
X,X,X,X,X
7,0,1.15,1.15,0
4,0,0.67,0.67,0
26,8,13.49,10.32,3.17
0,0,0,0,0
0,0,0,0,0
0,1,0.26,0,0.26
1,0,1.69,1.69,0
1,0,1.89,1.89,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0.25,0.25,0
2,1,0.43,0.29,0.14
0,0,0,0,0
0,0,0,0,0
3,2,0.75,0.45,0.3
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.71,0.71,0
1,2,0.3,0.1,0.2
0,1,0.9,0,0.9
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,3,0.47,0.12,0.35
0,0,0,0,0
4,12,5.37,1.34,4.03
1,0,0.8,0.8,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,0,0.28,0.28,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.15,0.15,0
2,1,0.42,0.28,0.14
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
3,0,0.6,0.6,0
1,0,0.22,0.22,0
0,0,0,0,0
1,0,2.5,2.5,0
1,2,1.73,0.58,1.16
1,1,0.61,0.3,0.3
0,0,0,0,0
0,0,0,0,0
0,1,0.32,0,0.32
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.13,0.13,0
1,1,0.32,0.16,0.16
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
1,0,0.22,0.22,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.21,0.21,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,1,0.5,0.38,0.13
1,0,0.37,0.37,0
0,1,0.89,0,0.89
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.13,0.13,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.62,0.62,0
0,0,0,0,0
X,X,X,X,X
4,0,0.92,0.92,0
1,0,0.25,0.25,0
0,0,0,0,0
2,1,10,6.67,3.33
4,1,2.89,2.31,0.58
1,0,0.4,0.4,0
0,0,0,0,0
0,1,3.33,0,3.33
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,2,0.51,0.17,0.34
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0.45,0.45,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0.16,0,0.16
0,0,0,0,0
0,1,0.26,0,0.26
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
1,0,2.27,2.27,0
0,0,0,0,0
2,0,0.21,0.21,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0.2,0,0.2
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
4,4,1.77,0.88,0.88
2,1,0.89,0.59,0.3
0,0,0,0,0
0,0,0,0,0
1,1,1.71,0.85,0.85
0,0,0,0,0
0,1,4.17,0,4.17
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0.28,0,0.28
1,0,0.73,0.73,0
1,1,7.41,3.7,3.7
0,1,0.24,0,0.24
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.15,0.15,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,4,1.06,0.46,0.61
0,0,0,0,0
0,1,1.67,0,1.67
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,0,0.25,0.25,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
5,2,1.71,1.22,0.49
1,0,0.45,0.45,0
0,0,0,0,0
1,0,4.76,4.76,0
1,1,1.8,0.9,0.9
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0.31,0,0.31
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
1,0,0.53,0.53,0
0,0,0,0,0
0,0,0,0,0
0,1,1.05,0,1.05
0,0,0,0,0
1,0,2.86,2.86,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,2,0.45,0.15,0.3
0,0,0,0,0
0,2,3.64,0,3.64
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.27,0.27,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,1,0.46,0,0.46
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.57,0.57,0
X,X,X,X,X
X,X,X,X,X
2,0,0.51,0.51,0
1,2,1.27,0.42,0.85
0,0,0,0,0
0,0,0,0,0
2,0,2.3,2.3,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0.63,0.32,0.32
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,3,0.64,0.16,0.48
0,0,0,0,0
0,1,1.89,0,1.89
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.27,0.27,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
5,0,1.47,1.47,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,2,0.75,0,0.75
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,0,0.18,0.18,0
0,0,0,0,0
0,1,2.5,0,2.5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,3,1.42,0,1.42
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,2,0.92,0,0.92
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.43,0.43,0
0,0,0,0,0
0,0,0,0,0
1,0,0.32,0.32,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
1,0,0.67,0.67,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0.18,0,0.18
6,6,7.1,3.55,3.55
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
4,0,1.29,1.29,0
0,2,1.2,0,1.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0.72,0,0.72
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,1,0.28,0,0.28
1,0,0.87,0.87,0
0,0,0,0,0
1,0,0.41,0.41,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
2,4,0.94,0.31,0.63
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
2,0,0.56,0.56,0
0,1,0.49,0,0.49
X,X,X,X,X
0,0,0,0,0
2,0,2.99,2.99,0
0,2,1.61,0,1.61
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
3,0,1.46,1.46,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0.97,0.48,0.48
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4,4,1.25,0.63,0.63
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
2,0,0.46,0.46,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,1,1.72,0,1.72
0,1,0.76,0,0.76
0,1,4,0,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.28,0.28,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
6,4,1.52,0.91,0.61
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
1,0,0.18,0.18,0
1,1,1.03,0.52,0.52
2,0,0.45,0.45,0
0,0,0,0,0
1,1,4.08,2.04,2.04
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
1,0,0.43,0.43,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,3,0.54,0.14,0.41
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,1,0.53,0,0.53
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
2,0,0.45,0.45,0
X,X,X,X,X
0,0,0,0,0
0,1,0.72,0,0.72
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,1,0.44,0,0.44
0,0,0,0,0
2,0,0.48,0.48,0
0,0,0,0,0
1,0,1.04,1.04,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,2,0.46,0.15,0.3
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
4,3,2.23,1.27,0.96
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,2,0.6,0,0.6
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,1,0.6,0,0.6
0,0,0,0,0
2,0,0.55,0.55,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
4,5,1.65,0.74,0.92
1,1,1.77,0.88,0.88
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
1,0,0.33,0.33,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,0,0.78,0.78,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,3,1.11,0,1.11
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
2,0,0.43,0.43,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,3.23,0,3.23
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,1,0.53,0,0.53
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,3,0.63,0,0.63
1,0,0.83,0.83,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
1,1,0.79,0.4,0.4
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
1,0,0.29,0.29,0
1,0,0.93,0.93,0
1,0,0.21,0.21,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.25,0.25,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0.25,0.25,0
0,0,0,0,0
1,0,6.67,6.67,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,3,0.62,0,0.62
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
1,0,0.4,0.4,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
2,1,0.96,0.64,0.32
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
1,1,5.56,2.78,2.78
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
