"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
0,3,1.17,0,1.17
16,17,2.89,1.4,1.49
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0.33,0,0.33
1,3,0.88,0.22,0.66
1,0,0.17,0.17,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,3,1.11,0,1.11
X,X,X,X,X
1,0,1.03,1.03,0
1,0,2.5,2.5,0
4,1,0.58,0.47,0.12
2,0,0.48,0.48,0
0,0,0,0,0
0,1,1.56,0,1.56
X,X,X,X,X
68,47,7.6,4.49,3.1
2,2,0.54,0.27,0.27
0,0,0,0,0
1,0,3.85,3.85,0
4,2,2,1.33,0.67
0,0,0,0,0
0,0,0,0,0
0,1,1.05,0,1.05
0,1,0.36,0,0.36
3,0,0.64,0.64,0
X,X,X,X,X
X,X,X,X,X
2,0,0.7,0.7,0
3,0,0.54,0.54,0
1,0,0.38,0.38,0
2,0,1.05,1.05,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
4,4,0.66,0.33,0.33
1,4,2.28,0.46,1.83
X,X,X,X,X
0,1,0.14,0,0.14
0,0,0,0,0
0,0,0,0,0
0,1,0.22,0,0.22
X,X,X,X,X
2,0,0.67,0.67,0
0,0,0,0,0
0,7,3.23,0,3.23
8,11,1.27,0.54,0.74
0,1,0.21,0,0.21
0,1,0.96,0,0.96
0,0,0,0,0
0,1,0.34,0,0.34
1,1,0.52,0.26,0.26
2,2,0.7,0.35,0.35
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
5,4,2.8,1.56,1.25
0,0,0,0,0
1,0,1.14,1.14,0
0,0,0,0,0
9,7,1.58,0.89,0.69
2,0,0.44,0.44,0
1,0,0.29,0.29,0
0,0,0,0,0
X,X,X,X,X
49,27,6.1,3.94,2.17
2,3,1.11,0.44,0.66
1,0,0.63,0.63,0
5,2,16.28,11.63,4.65
3,2,1.37,0.82,0.55
2,0,1.79,1.79,0
0,0,0,0,0
3,0,2.86,2.86,0
0,1,0.35,0,0.35
2,0,0.41,0.41,0
X,X,X,X,X
0,0,0,0,0
1,1,0.7,0.35,0.35
7,0,1.15,1.15,0
0,0,0,0,0
4,1,2.75,2.2,0.55
1,0,0.2,0.2,0
0,0,0,0,0
0,0,0,0,0
1,0,5.56,5.56,0
0,0,0,0,0
X,X,X,X,X
0,1,0.38,0,0.38
6,2,0.55,0.41,0.14
2,2,1.79,0.89,0.89
X,X,X,X,X
1,2,0.39,0.13,0.26
0,0,0,0,0
1,0,0.45,0.45,0
4,2,1.23,0.82,0.41
X,X,X,X,X
0,3,0.98,0,0.98
1,1,1.54,0.77,0.77
4,8,4.69,1.56,3.13
10,10,1.35,0.68,0.68
1,0,0.18,0.18,0
0,0,0,0,0
0,0,0,0,0
5,2,2.02,1.45,0.58
0,0,0,0,0
2,0,0.28,0.28,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,1,1.44,1.08,0.36
0,0,0,0,0
2,0,2.78,2.78,0
0,0,0,0,0
6,3,0.91,0.61,0.3
2,3,1.1,0.44,0.66
1,1,0.58,0.29,0.29
0,0,0,0,0
X,X,X,X,X
57,38,7.05,4.23,2.82
2,5,1.02,0.29,0.73
0,0,0,0,0
2,1,8.11,5.41,2.7
3,0,0.84,0.84,0
0,0,0,0,0
0,0,0,0,0
4,1,3.65,2.92,0.73
0,2,0.74,0,0.74
2,0,0.5,0.5,0
X,X,X,X,X
0,0,0,0,0
0,3,0.99,0,0.99
9,1,1.67,1.5,0.17
1,1,0.68,0.34,0.34
2,0,1.12,1.12,0
2,1,0.66,0.44,0.22
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
0,1,0.38,0,0.38
8,4,0.84,0.56,0.28
0,4,1.88,0,1.88
0,0,0,0,0
1,2,0.37,0.12,0.25
0,0,0,0,0
3,2,2.34,1.4,0.93
2,0,0.34,0.34,0
X,X,X,X,X
0,2,0.65,0,0.65
0,0,0,0,0
2,10,4.08,0.68,3.4
12,12,1.54,0.77,0.77
4,2,1.1,0.73,0.37
0,1,0.81,0,0.81
0,0,0,0,0
2,1,0.84,0.56,0.28
0,1,0.23,0,0.23
1,3,0.53,0.13,0.4
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,6,3.6,1.2,2.4
X,X,X,X,X
2,1,3.45,2.3,1.15
0,1,2.33,0,2.33
11,8,1.87,1.08,0.79
1,0,0.22,0.22,0
0,2,0.57,0,0.57
0,0,0,0,0
X,X,X,X,X
154,100,14.06,8.53,5.54
1,10,1.46,0.13,1.33
1,1,1.75,0.88,0.88
X,X,X,X,X
5,1,1.61,1.34,0.27
0,0,0,0,0
2,0,2.27,2.27,0
2,1,2.54,1.69,0.85
0,3,1.05,0,1.05
2,0,0.47,0.47,0
X,X,X,X,X
0,0,0,0,0
1,0,0.29,0.29,0
4,0,0.73,0.73,0
2,1,0.96,0.64,0.32
3,0,1.91,1.91,0
4,1,1.02,0.82,0.2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
2,0,0.68,0.68,0
5,5,0.62,0.31,0.31
1,5,2.61,0.43,2.17
0,0,0,0,0
3,3,0.73,0.37,0.37
0,1,0.52,0,0.52
8,4,5.69,3.79,1.9
1,1,0.35,0.18,0.18
X,X,X,X,X
0,0,0,0,0
0,0,0,0,0
0,6,2.16,0,2.16
9,13,1.33,0.54,0.79
3,14,3.04,0.54,2.5
0,0,0,0,0
0,0,0,0,0
4,3,2.22,1.27,0.95
1,1,0.47,0.24,0.24
2,0,0.26,0.26,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
2,1,1.17,0.78,0.39
X,X,X,X,X
1,0,1.28,1.28,0
0,1,2.04,0,2.04
22,18,3.6,1.98,1.62
9,1,2.38,2.14,0.24
4,0,1.22,1.22,0
1,0,1.16,1.16,0
X,X,X,X,X
82,72,11.45,6.1,5.35
4,3,0.95,0.55,0.41
0,0,0,0,0
X,X,X,X,X
6,1,1.79,1.53,0.26
0,0,0,0,0
0,1,1.03,0,1.03
1,0,0.91,0.91,0
0,1,0.39,0,0.39
6,1,1.22,1.04,0.17
1,0,2,2,0
0,0,0,0,0
2,1,0.99,0.66,0.33
10,1,1.91,1.74,0.17
5,0,1.68,1.68,0
1,0,0.65,0.65,0
0,1,0.23,0,0.23
0,0,0,0,0
0,1,2.22,0,2.22
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
6,1,2.53,2.17,0.36
5,4,0.6,0.33,0.27
2,3,2.2,0.88,1.32
0,0,0,0,0
2,5,0.9,0.26,0.64
0,1,0.48,0,0.48
5,1,2.64,2.2,0.44
0,2,0.36,0,0.36
X,X,X,X,X
0,0,0,0,0
0,1,0.74,0,0.74
1,4,1.55,0.31,1.24
15,21,2.14,0.89,1.25
9,11,3.62,1.63,1.99
0,1,0.7,0,0.7
7,0,3.2,3.2,0
1,2,1.05,0.35,0.7
0,5,1.21,0,1.21
2,0,0.3,0.3,0
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
2,3,1.74,0.7,1.05
0,0,0,0,0
3,1,4.6,3.45,1.15
0,0,0,0,0
34,18,4.12,2.69,1.43
9,0,1.76,1.76,0
5,0,1.24,1.24,0
2,0,1.47,1.47,0
X,X,X,X,X
100,82,11.24,6.18,5.06
3,8,1.51,0.41,1.1
3,0,3.06,3.06,0
X,X,X,X,X
4,2,1.5,1,0.5
0,0,0,0,0
0,0,0,0,0
2,0,1.63,1.63,0
0,2,0.65,0,0.65
2,1,0.44,0.29,0.15
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,2,0.96,0.69,0.28
2,0,0.63,0.63,0
1,0,0.63,0.63,0
2,0,0.42,0.42,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
X,X,X,X,X
3,1,1.5,1.13,0.38
14,13,1.72,0.89,0.83
3,3,2.64,1.32,1.32
0,0,0,0,0
1,1,0.23,0.11,0.11
2,5,3.85,1.1,2.75
8,5,4.94,3.04,1.9
6,4,1.56,0.94,0.62
X,X,X,X,X
0,1,0.34,0,0.34
0,2,1.28,0,1.28
0,9,2.74,0,2.74
13,9,1.35,0.8,0.55
15,17,4.6,2.16,2.44
0,1,0.63,0,0.63
1,0,0.4,0.4,0
5,7,2.99,1.25,1.75
1,2,0.54,0.18,0.36
3,1,0.46,0.34,0.11
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,2,1.91,1.15,0.76
X,X,X,X,X
11,1,9.92,9.09,0.83
0,0,0,0,0
85,35,8.39,5.94,2.45
15,0,2.72,2.72,0
8,0,1.87,1.87,0
1,0,0.88,0.88,0
X,X,X,X,X
78,37,8.38,5.68,2.69
3,4,1.15,0.49,0.66
2,0,1.47,1.47,0
3,0,25,25,0
27,3,6.83,6.15,0.68
1,1,1.41,0.7,0.7
0,0,0,0,0
4,3,5.65,3.23,2.42
0,1,0.31,0,0.31
4,0,0.7,0.7,0
0,0,0,0,0
0,0,0,0,0
1,3,0.9,0.23,0.68
11,1,1.69,1.55,0.14
2,1,0.72,0.48,0.24
2,0,1.44,1.44,0
3,0,0.59,0.59,0
0,0,0,0,0
0,0,0,0,0
1,0,3.85,3.85,0
2,0,11.76,11.76,0
X,X,X,X,X
2,4,1.79,0.6,1.19
16,4,0.97,0.77,0.19
3,3,3.19,1.6,1.6
0,0,0,0,0
3,5,0.92,0.35,0.58
1,1,0.96,0.48,0.48
7,9,5.95,2.6,3.35
3,2,0.72,0.43,0.29
X,X,X,X,X
4,0,1.27,1.27,0
0,0,0,0,0
1,7,2.79,0.35,2.44
27,12,2.34,1.62,0.72
28,25,7.17,3.79,3.38
1,2,1.86,0.62,1.24
2,0,0.67,0.67,0
7,15,5.06,1.61,3.45
0,1,0.19,0,0.19
12,1,1.39,1.28,0.11
0,0,0,0,0
X,X,X,X,X
