"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype,""""""""""""""""""""""""""""""" and influenza B lineage."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
123,188,11,4,0,0,0
X,X,X,X,X,X,X
262,19,0,48,0,0,0
X,X,X,X,X,X,X
X,X,X,X,X,X,X
9,2,0,13,0,0,0
0,2,1,0,0,0,0
159,11,5,220,0,0,0
193,205,6,36,0,0,0
1056,162,109,339,0,0,0
412,19,14,303,0,1,11
438,94,5,190,0,0,0
197,72,20,172,0,0,0
341,44,5,202,0,0,0
480,22,12,365,0,0,0
373,230,24,480,0,0,0
506,22,5,178,0,0,0
65,10,2,185,0,0,0
95,151,41,88,0,0,0
65,4,1,50,0,0,0
196,16,5,245,0,0,0
12,8,3,15,0,0,0
208,0,1,175,0,0,0
21,13,18,146,0,0,0
101,3,1,121,0,0,0
626,67,12,509,0,0,0
228,5,5,1,0,0,0
269,8,13,222,0,0,1
450,387,26,531,0,2,0
25,7,4,15,0,0,0
127,26,3,40,0,0,1
140,1,1,148,0,0,0
21,23,22,95,0,0,0
160,1539,525,137,0,0,0
144,172,16,41,0,0,0
72,15,38,4,0,0,0
162,17,4,260,0,0,0
256,290,45,92,0,0,0
32,5,0,30,0,0,0
79,12,7,188,0,0,0
342,3,4,174,0,0,0
9,2,0,6,0,0,0
110,20,2,132,0,0,0
191,52,10,164,0,0,0
47,247,31,80,0,0,0
30,23,17,246,0,0,0
156,29,12,259,0,0,0
74,5,4,65,0,0,0
167,13,9,296,0,0,0
153,0,1,220,0,0,0
116,13,1,43,0,0,0
80,7,1,47,0,0,0
103,50,14,56,0,0,0
206,12,13,224,0,0,0
310,68,11,183,0,0,0
8,45,21,23,0,0,0
X,X,X,X,X,X,X
48,4,0,53,0,0,0
X,X,X,X,X,X,X
X,X,X,X,X,X,X
170,22,4,0,0,0,0
169,34,7,13,0,0,0
48,3,3,4,0,0,2
252,851,3,2,0,0,0
5751,467,107,231,0,0,54
121,906,12,1,0,0,0
570,34,100,3,0,0,0
376,39,14,1,0,0,1
638,44,0,22,0,0,0
787,48,25,1,0,0,0
305,405,14,0,0,0,0
64,7,0,26,0,0,0
450,132,1,10,0,0,0
241,352,6,4,0,0,0
127,23,0,2,0,0,0
408,26,58,0,0,0,1
5,1,0,0,0,0,0
433,4,0,1,0,0,0
90,9,0,1,0,0,2
583,19,170,0,0,0,0
655,3,2,26,0,0,0
980,18,91,1,0,0,0
415,87,5,5,0,0,0
356,732,3,62,0,0,1
155,34,1,2,0,0,0
453,77,7,1,0,0,0
148,4,1,8,0,0,0
396,92,4,0,0,0,0
269,67,1,51,0,0,0
265,531,11,64,0,0,0
83,32,6,0,0,0,0
642,10,0,11,0,0,0
1611,344,22,26,0,0,0
481,66,2,2,0,0,0
107,1,4,0,0,0,0
642,8,1,0,0,0,2
91,33,1,3,0,0,0
1099,82,34,0,0,0,2
485,70,1,22,0,0,0
740,368,99,3,0,0,0
185,8,0,0,0,0,0
275,48,8,0,0,0,0
461,1361,1,0,0,0,0
1018,25,20,1,0,0,0
310,0,0,1,0,0,0
59,3,0,10,0,0,0
267,15,2,4,0,0,0
405,97,58,3,0,0,14
201,15,0,2,0,0,0
543,68,5,36,0,0,1
32,23,0,0,0,0,0
X,X,X,X,X,X,X
62,1,2,2,0,0,0
X,X,X,X,X,X,X
X,X,X,X,X,X,X
