COVID-19_Season,Doses,Cumulative_Doses,Age_Group
2023-2024,343708,10077147,60-74
2023-2024,319466,14285884,65+
2023-2024,40229,7000985,75+
2023-2024,63016,12433746,60-74
2023-2024,1199953,7441727,18-64
2023-2024,289273,12982630,18-64
2023-2024,40062,14335571,18-64
2023-2024,31909,14679629,18-64
2023-2024,11497,7208345,50-64
2023-2024,427843,441457,75+
2023-2024,1473196,3508466,18-64
2023-2024,85461,32609508,18+
2023-2024,175776,29877066,18+
2023-2024,908039,2090272,75+
2023-2024,24219,7077505,75+
2023-2024,50854,14250717,18-64
2023-2024,50152,12539680,60-74
2023-2024,257512,30134578,18+
2024-2025,2367127,6955169,18+
2023-2024,206321,11018468,60-74
2023-2024,29409,7030394,75+
2023-2024,117361,29701290,18+
2024-2025,397251,3785829,50-64
2023-2024,1240917,2035270,18-64
2023-2024,189188,11207656,60-74
2024-2025,1471273,4307209,65+
2023-2024,740776,1182233,75+
2023-2024,237846,30372424,18+
2023-2024,58563,17453870,65+
2023-2024,79333,32430016,18+
2023-2024,862953,9267000,18-64
2023-2024,36504,14847809,18-64
2023-2024,58188,14093274,18-64
2023-2024,48588,17658008,65+
2023-2024,62102,14035086,18-64
2023-2024,31220,12781876,60-74
2023-2024,22447,7303677,18-49
2023-2024,30745,14772007,18-64
2024-2025,127751,127751,18-49
2023-2024,133041,6489452,50-64
2023-2024,40206,12715423,60-74
2023-2024,87168,32271726,18+
2024-2025,385978,822198,18-49
2023-2024,187685,16172561,65+
2023-2024,105511,6784225,75+
2023-2024,201948,30815058,18+
2023-2024,23761,7258273,18-49
2024-2025,699127,7340034,60-74
2024-2025,912617,1946382,60-74
2023-2024,189832,16362393,65+
2023-2024,124742,6614194,50-64
2023-2024,779178,1859185,50-64
2023-2024,65977,6850202,75+
2024-2025,704435,3491118,75+
2023-2024,1154821,5981824,60-74
2023-2024,43951,7770374,75+
2024-2025,995657,3912349,60-74
2023-2024,596951,3578809,18-49
2023-2024,141332,16660880,65+
2023-2024,49218,12588898,60-74
2023-2024,134232,6471161,75+
2023-2024,404894,12649717,65+
2023-2024,19580,7409765,18-49
2023-2024,439872,13599626,65+
2023-2024,157992,6336944,18-49
2023-2024,33257,33257,65+
