COVID-19_Season,Week_ID,Current_Season_Week_Ending_Label,MMWR_Week_Order,MMWR_Year,MMWR_Week,MMWR_Day,Setting,Doses,Cumulative_Doses,Location_and_Flu_Season_Order,Current_Through,Age_Group,current_season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend,Child or adult,Week Ending,Enrollment Date,As of date,Race and ethnicity,comparison_type,week_ending,current_season_week_ending_label,comparison_group_1,comparison_group_2,comparison_group1_point_estimate,comparison_group2_point_estimate,estimate_difference,difference_estimate_lower_95_ci,difference_estimate_upper_95_ci,significant_at_95_pct,comparison_group_1_sort_order,comparison_group_2_sort_order
,,,,,,,,,,,,,SEP,0.0,1992.0,Republic of Palau,0.0,65+ years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" Republic of Palau: 65+ years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Adult,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,2226.0,N. Mariana Islands,0.0,2-4 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" N. Mariana Islands: 2-4 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,2593.0,Marshall Islands,0.0,6-23 months,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" Marshall Islands: 6-23 months""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,2608.0,American Samoa,0.0,2-4 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" American Samoa: 2-4 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,2844.0,Federated States of Micronesia,0.0,6-23 months,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" Federated States of Micronesia: 6-23 months""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,3019.0,N. Mariana Islands,0.0,5-8 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" N. Mariana Islands: 5-8 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,3278.0,American Samoa,0.0,65+ years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" American Samoa: 65+ years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Adult,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,3481.0,American Samoa,0.0,5-8 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" American Samoa: 5-8 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,3546.0,American Samoa,0.0,9-12 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" American Samoa: 9-12 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,3732.0,Marshall Islands,0.0,65+ years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" Marshall Islands: 65+ years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Adult,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,3754.0,N. Mariana Islands,0.0,65+ years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" N. Mariana Islands: 65+ years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Adult,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,3916.0,N. Mariana Islands,0.0,9-12 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" N. Mariana Islands: 9-12 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,4023.0,Republic of Palau,0.0,50-64 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" Republic of Palau: 50-64 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Adult,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,4073.0,U.S. Virgin Islands ,0.0,2-4 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" U.S. Virgin Islands : 2-4 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,4712.0,Guam,0.0,6-23 months,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" Guam: 6-23 months""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,4748.0,American Samoa,0.0,13-17 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" American Samoa: 13-17 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,4812.0,Federated States of Micronesia,0.0,65+ years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" Federated States of Micronesia: 65+ years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Adult,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SEP,0.0,4829.5,Republic of Palau,0.0,6 months to 17 years,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""2023-24""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" Republic of Palau: 6 months to 17 years""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",Child,,,,,,,,,,,,,,,,,
