Current Season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend
2022-23,MAR,,,Virginia,,6 months to 17 years,"2022-23, Virginia: 6 months to 17 years"
2022-23,NOV,18325,104306,New Mexico,0.1757,5-8 years,"2022-23, New Mexico: 5-8 years"
2022-23,NOV,25295,78981,Philadelphia,0.3203,5-8 years,"2022-23, Philadelphia: 5-8 years"
2022-23,NOV,1466544,6115723.5,Missouri,0.2398,Overall,"2022-23, Missouri: Overall"
2024-25,OCT,808,13771,Guam,0.0587,13-17 years,"2024-25, Guam: 13-17 years"
2024-25,OCT,1583,21113,Wyoming,0.075,2-4 years,"2024-25, Wyoming: 2-4 years"
2024-25,SEP,158,3546,American Samoa,0.0446,9-12 years,"2024-25, American Samoa: 9-12 years"
2022-23,OCT,9,105648,U.S. Virgin Islands ,0.0001,Overall,"2022-23, U.S. Virgin Islands : Overall"
2023-24,AUG,266,347543.5,West Virginia,0.0008,6 months to 17 years,"2023-24, West Virginia: 6 months to 17 years"
2023-24,JAN,1936,12020,N. Mariana Islands,0.1611,50-64 years,"2023-24, N. Mariana Islands: 50-64 years"
2023-24,MAY,19075,104275,Idaho,0.1829,9-12 years,"2023-24, Idaho: 9-12 years"
2024-25,AUG,302,52373,Guam,0.0058,6 months to 17 years,"2024-25, Guam: 6 months to 17 years"
2024-25,JAN,119095,742187,Ohio,0.1605,13-17 years,"2024-25, Ohio: 13-17 years"
2022-23,DEC,461226,789527,Oregon,0.5842,65+ years,"2022-23, Oregon: 65+ years"
2022-23,MAY,163257,500397,Pennsylvania,0.3263,5-8 years,"2022-23, Pennsylvania (excluding Philadelphia County): 5-8 years"
2023-24,APR,125100,552427,Alaska,0.2265,18+ years,"2023-24, Alaska: 18+ years"
2023-24,AUG,502,268337,Utah,0.0019,13-17 years,"2023-24, Utah: 13-17 years"
2023-24,AUG,27162,4557684,Colorado,0.006,18+ years,"2023-24, Colorado: 18+ years"
2024-25,AUG,53,104275,Idaho,0.0005,9-12 years,"2024-25, Idaho: 9-12 years"
2024-25,JAN,,,Wyoming,,6 months to 17 years,"2024-25, Wyoming: 6 months to 17 years"
2024-25,JUL,4,369112,North Carolina,0,2-4 years,"2024-25, North Carolina: 2-4 years"
2024-25,JUL,,,Kansas,,5-8 years,"2024-25, Kansas: 5-8 years"
2022-23,JAN,38546,136613,Oregon,0.2822,2-4 years,"2022-23, Oregon: 2-4 years"
2022-23,JUN,215533,975661.5,Kentucky,0.2209,6 months to 17 years,"2022-23, Kentucky: 6 months to 17 years"
2022-23,JUN,4073671,17482580,Florida,0.233,18+ years,"2022-23, Florida: 18+ years"
2022-23,MAY,163412,373569,West Virginia,0.4374,65+ years,"2022-23, West Virginia: 65+ years"
2022-23,NOV,266616,1414649,California,0.1885,2-4 years,"2022-23, California: 2-4 years"
2023-24,AUG,125,104306,New Mexico,0.0012,5-8 years,"2023-24, New Mexico: 5-8 years"
2023-24,JUL,19,2315421,Minnesota,8.2059e-06,18-49 years,"2023-24, Minnesota: 18-49 years"
2023-24,MAY,6603,41226,Alaska,0.1602,5-8 years,"2023-24, Alaska: 5-8 years"
2023-24,SEP,166279,3145074,Iowa,0.0529,Overall,"2023-24, Iowa: Overall"
2024-25,DEC,,,South Carolina,,Overall,"2024-25, South Carolina: Overall"
2024-25,OCT,4944,32606.5,Idaho,0.1516,6-23 months,"2024-25, Idaho: 6-23 months"
2022-23,AUG,8516,2707942,Illinois,0.0031,6 months to 17 years,"2022-23, Illinois: 6 months to 17 years"
2022-23,DEC,716851,2438002,Iowa,0.294,18+ years,"2022-23, Iowa: 18+ years"
2022-23,JAN,730197,2320603,Utah,0.3147,18+ years,"2022-23, Utah: 18+ years"
2022-23,NOV,,,Chicago,,5-8 years,"2022-23, Chicago: 5-8 years"
2022-23,SEP,30,11986,Guam,0.0025,9-12 years,"2022-23, Guam: 9-12 years"
2023-24,FEB,0,547437,Georgia,0,5-8 years,"2023-24, Georgia: 5-8 years"
2024-25,OCT,97687,707072,Iowa,0.1382,6 months to 17 years,"2024-25, Iowa: 6 months to 17 years"
2023-24,JUL,2,99629,Idaho,0,5-8 years,"2023-24, Idaho: 5-8 years"
2023-24,OCT,92012,564552,Arkansas,0.163,50-64 years,"2023-24, Arkansas: 50-64 years"
2023-24,SEP,112631,3752487,New York City,0.03,18-49 years,"2023-24, New York City: 18-49 years"
2023-24,SEP,9860,199448,Wisconsin,0.0494,2-4 years,"2023-24, Wisconsin: 2-4 years"
2024-25,NOV,214684,1321503,Arizona,0.1625,50-64 years,"2024-25, Arizona: 50-64 years"
2024-25,OCT,6674,46827,North Dakota,0.1425,13-17 years,"2024-25, North Dakota: 13-17 years"
2022-23,FEB,5303,13527.5,District of Columbia,0.392,6-23 months,"2022-23, District of Columbia: 6-23 months"
2022-23,OCT,,,Massachusetts,,Overall,"2022-23, Massachusetts: Overall"
