Current Season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend
2022-23,MAY,5580,47529,Marshall Islands,0.1174,18+ years,"2022-23, Marshall Islands: 18+ years"
2022-23,NOV,2549466,8922762,Pennsylvania,0.2857,18+ years,"2022-23, Pennsylvania (excluding Philadelphia County): 18+ years"
2023-24,AUG,25,49273,South Dakota,0.0005,5-8 years,"2023-24, South Dakota: 5-8 years"
2023-24,JAN,53926,342016,Michigan,0.1577,2-4 years,"2023-24, Michigan: 2-4 years"
2023-24,JUL,3,417969,Ohio,7.1776e-06,2-4 years,"2023-24, Ohio: 2-4 years"
2024-25,AUG,166,241497,Louisiana,0.0007,9-12 years,"2024-25, Louisiana: 9-12 years"
2022-23,JUL,244,13026771,Texas,0,18-49 years,"2022-23, Texas: 18-49 years"
2022-23,MAY,,,New Hampshire,,13-17 years,"2022-23, New Hampshire: 13-17 years"
2022-23,MAY,437875,3177862.5,Puerto Rico,0.1378,Overall,"2022-23, Puerto Rico: Overall"
2022-23,OCT,141676,510181,Vermont,0.2777,18+ years,"2022-23, Vermont: 18+ years"
2023-24,FEB,2311281,10541669,North Carolina,0.2193,Overall,"2023-24, North Carolina: Overall"
2023-24,OCT,,,Kansas,,2-4 years,"2023-24, Kansas: 2-4 years"
2024-25,JAN,42679,198245,Oregon,0.2153,9-12 years,"2024-25, Oregon: 9-12 years"
2024-25,SEP,25679,361410,Pennsylvania,0.0711,2-4 years,"2024-25, Pennsylvania (excluding Philadelphia County): 2-4 years"
2022-23,APR,112737,377461,Washington,0.2987,5-8 years,"2022-23, Washington: 5-8 years"
2022-23,AUG,8268,672299,California,0.0123,6-23 months,"2022-23, California: 6-23 months"
2022-23,DEC,42258,222571,Kentucky,0.1899,5-8 years,"2022-23, Kentucky: 5-8 years"
2022-23,JAN,733397,3364376,Washington,0.218,18-49 years,"2022-23, Washington: 18-49 years"
2022-23,MAY,756115,3564038,Louisiana,0.2122,18+ years,"2022-23, Louisiana: 18+ years"
2022-23,NOV,725370,8532850,Florida,0.085,18-49 years,"2022-23, Florida: 18-49 years"
2024-25,DEC,,,Nebraska,,13-17 years,"2024-25, Nebraska: 13-17 years"
2024-25,DEC,,,Alabama,,18-49 years,"2024-25, Alabama: 18-49 years"
2024-25,NOV,182673,389911,New Mexico,0.4685,65+ years,"2024-25, New Mexico: 65+ years"
2024-25,NOV,247991,3177862.5,Puerto Rico,0.078,Overall,"2024-25, Puerto Rico: Overall"
2024-25,OCT,1264,3019,N. Mariana Islands,0.4187,5-8 years,"2024-25, N. Mariana Islands: 5-8 years"
2023-24,DEC,372386,2499695,Missouri,0.149,18-49 years,"2023-24, Missouri: 18-49 years"
2023-24,JAN,113647,569627,Ohio,0.1995,5-8 years,"2023-24, Ohio: 5-8 years"
2023-24,JUL,40,1299127.5,Maryland,0,6 months to 17 years,"2023-24, Maryland: 6 months to 17 years"
2023-24,JUN,82246,110266,Connecticut,0.7459,2-4 years,"2023-24, Connecticut: 2-4 years"
2023-24,NOV,2471927,11026194,New York State,0.2242,Overall,"2023-24, New York (excluding New York City): Overall"
2024-25,AUG,19597,3564038,Louisiana,0.0055,18+ years,"2024-25, Louisiana: 18+ years"
2022-23,DEC,,,Chicago,,65+ years,"2022-23, Chicago: 65+ years"
2022-23,MAY,181751,676599,Pennsylvania,0.2686,13-17 years,"2022-23, Pennsylvania (excluding Philadelphia County): 13-17 years"
2022-23,OCT,281586,3608589,New Jersey,0.078,18-49 years,"2022-23, New Jersey: 18-49 years"
2023-24,DEC,287991,701836,Connecticut,0.4103,6 months to 17 years,"2023-24, Connecticut: 6 months to 17 years"
2023-24,JAN,139550,681696.5,Arkansas,0.2047,6 months to 17 years,"2023-24, Arkansas: 6 months to 17 years"
2023-24,MAY,4078,38687,Wyoming,0.1054,13-17 years,"2023-24, Wyoming: 13-17 years"
2024-25,OCT,520572,1047935,Wisconsin,0.4968,65+ years,"2024-25, Wisconsin: 65+ years"
2023-24,NOV,4640,118083,Puerto Rico,0.0393,5-8 years,"2023-24, Puerto Rico: 5-8 years"
2023-24,SEP,36179,975661.5,Kentucky,0.0371,6 months to 17 years,"2023-24, Kentucky: 6 months to 17 years"
2024-25,JAN,,,Indiana,,18-49 years,"2024-25, Indiana: 18-49 years"
2024-25,JUL,0,5080,Marshall Islands,0,2-4 years,"2024-25, Marshall Islands: 2-4 years"
2024-25,NOV,540254,1115285,Indiana,0.4844,65+ years,"2024-25, Indiana: 65+ years"
2024-25,NOV,24626,241497,Louisiana,0.102,9-12 years,"2024-25, Louisiana: 9-12 years"
2022-23,AUG,249,307961,Missouri,0.0008,9-12 years,"2022-23, Missouri: 9-12 years"
2022-23,JAN,725150,2237082,New York State,0.3241,6 months to 17 years,"2022-23, New York (excluding New York City): 6 months to 17 years"
2022-23,JAN,89157,285438,Colorado,0.3124,9-12 years,"2022-23, Colorado: 9-12 years"
2022-23,SEP,5146,85458,Alabama,0.0602,6-23 months,"2022-23, Alabama: 6-23 months"
2022-23,SEP,554,17119.5,Montana,0.0324,6-23 months,"2022-23, Montana: 6-23 months"
2023-24,AUG,,,Kansas,,50-64 years,"2023-24, Kansas: 50-64 years"
2023-24,JAN,268212,886812,South Dakota,0.3024,Overall,"2023-24, South Dakota: Overall"
2023-24,MAY,778210,1247874,Washington,0.6236,65+ years,"2023-24, Washington: 65+ years"
2023-24,NOV,343682,1239735,Philadelphia,0.2772,18+ years,"2023-24, Philadelphia: 18+ years"
2023-24,SEP,17728,579166.5,Wyoming,0.0306,Overall,"2023-24, Wyoming: Overall"
2024-25,JAN,574956,1089714,Missouri,0.5276,65+ years,"2024-25, Missouri: 65+ years"
2023-24,JAN,,,South Carolina,,6 months to 17 years,"2023-24, South Carolina: 6 months to 17 years"
2023-24,JUL,2,59835,South Dakota,0,13-17 years,"2023-24, South Dakota: 13-17 years"
2023-24,JUN,9859,32005,District of Columbia,0.308,5-8 years,"2023-24, District of Columbia: 5-8 years"
2023-24,NOV,123267,1997031,Alabama,0.0617,18-49 years,"2023-24, Alabama: 18-49 years"
2023-24,OCT,,,Chicago,,9-12 years,"2023-24, Chicago: 9-12 years"
2024-25,AUG,141,198245,Oregon,0.0007,9-12 years,"2024-25, Oregon: 9-12 years"
2024-25,DEC,6557,65539,Montana,0.1,13-17 years,"2024-25, Montana: 13-17 years"
2024-25,JAN,2225894,7839742,Michigan,0.2839,18+ years,"2024-25, Michigan: 18+ years"
2022-23,FEB,22987,112689,Nevada,0.204,2-4 years,"2022-23, Nevada: 2-4 years"
2022-23,SEP,,,Houston,,Overall,"2022-23, Houston: Overall"
2023-24,FEB,56862,342016,Michigan,0.1663,2-4 years,"2023-24, Michigan: 2-4 years"
2023-24,JAN,,,South Carolina,,6-23 months,"2023-24, South Carolina: 6-23 months"
2023-24,JAN,156269,955019,Florida,0.1636,9-12 years,"2023-24, Florida: 9-12 years"
2023-24,JAN,,,Virginia,,9-12 years,"2023-24, Virginia: 9-12 years"
2024-25,NOV,,,Nebraska,,18+ years,"2024-25, Nebraska: 18+ years"
2024-25,OCT,618674,1814542,North Carolina,0.341,65+ years,"2024-25, North Carolina: 65+ years"
2023-24,JUN,542633,2020773,Michigan,0.2685,50-64 years,"2023-24, Michigan: 50-64 years"
2023-24,SEP,625,27742,Guam,0.0225,50-64 years,"2023-24, Guam: 50-64 years"
2024-25,AUG,49520,6947836,New Jersey,0.0071,18+ years,"2024-25, New Jersey: 18+ years"
2024-25,DEC,123606,423451,New Jersey,0.2919,5-8 years,"2024-25, New Jersey: 5-8 years"
2024-25,JUL,4,153657,Connecticut,0,5-8 years,"2024-25, Connecticut: 5-8 years"
2024-25,NOV,319194,2437453.5,Georgia,0.131,6 months to 17 years,"2024-25, Georgia: 6 months to 17 years"
2022-23,DEC,10428,39611,North Dakota,0.2633,9-12 years,"2022-23, North Dakota: 9-12 years"
2022-23,FEB,86169,479456,Arizona,0.1797,13-17 years,"2022-23, Arizona: 13-17 years"
2022-23,FEB,45871,147011,Utah,0.312,2-4 years,"2022-23, Utah: 2-4 years"
2023-24,FEB,1089,3754,N. Mariana Islands,0.2901,65+ years,"2023-24, N. Mariana Islands: 65+ years"
2023-24,JUL,2,207146,Montana,9.655e-06,50-64 years,"2023-24, Montana: 50-64 years"
2023-24,SEP,11261,370797,Wisconsin,0.0304,13-17 years,"2023-24, Wisconsin: 13-17 years"
2023-24,SEP,16237,174496,New York State,0.0931,6-23 months,"2023-24, New York (excluding New York City): 6-23 months"
2024-25,SEP,3893,114544,Guam,0.034,18+ years,"2024-25, Guam: 18+ years"
2022-23,APR,187170,941363,Florida,0.1988,5-8 years,"2022-23, Florida: 5-8 years"
2022-23,SEP,45575,4423448,North Carolina,0.0103,18-49 years,"2022-23, North Carolina: 18-49 years"
2022-23,SEP,191202,8294423,North Carolina,0.0231,18+ years,"2022-23, North Carolina: 18+ years"
2023-24,MAR,0,10647521,Georgia,0,Overall,"2023-24, Georgia: Overall"
2023-24,MAY,,,Massachusetts,,13-17 years,"2023-24, Massachusetts: 13-17 years"
2024-25,AUG,6028,75066,Maine,0.0803,13-17 years,"2024-25, Maine: 13-17 years"
2022-23,DEC,51092,260352,Arizona,0.1962,2-4 years,"2022-23, Arizona: 2-4 years"
2022-23,JAN,,,Virginia,,5-8 years,"2022-23, Virginia: 5-8 years"
2022-23,JUN,9,684,Republic of Palau,0.0132,2-4 years,"2022-23, Republic of Palau: 2-4 years"
2022-23,NOV,1009,3916,N. Mariana Islands,0.2577,9-12 years,"2022-23, N. Mariana Islands: 9-12 years"
2023-24,DEC,0,1992,Republic of Palau,0,65+ years,"2023-24, Republic of Palau: 65+ years"
2023-24,JAN,4696,30474,Alaska,0.1541,2-4 years,"2023-24, Alaska: 2-4 years"
2023-24,JUN,0,2437453.5,Georgia,0,6 months to 17 years,"2023-24, Georgia: 6 months to 17 years"
2023-24,OCT,35296,393013,Missouri,0.0898,13-17 years,"2023-24, Missouri: 13-17 years"
2024-25,DEC,2660,21113,Wyoming,0.126,2-4 years,"2024-25, Wyoming: 2-4 years"
2024-25,JUL,91,1687066,Texas,0.0001,9-12 years,"2024-25, Texas: 9-12 years"
2024-25,SEP,110994,1415568,Washington,0.0784,50-64 years,"2024-25, Washington: 50-64 years"
2022-23,AUG,1095,94603,Colorado,0.0116,6-23 months,"2022-23, Colorado: 6-23 months"
2022-23,DEC,1340433,5373433,Tennessee,0.2495,18+ years,"2022-23, Tennessee: 18+ years"
2022-23,NOV,110862,434609,New Jersey,0.2551,9-12 years,"2022-23, New Jersey: 9-12 years"
2023-24,AUG,12431,3608589,New Jersey,0.0034,18-49 years,"2023-24, New Jersey: 18-49 years"
2023-24,DEC,189109,697429,Puerto Rico,0.2712,65+ years,"2023-24, Puerto Rico: 65+ years"
2023-24,JAN,31577,268724,Oklahoma,0.1175,13-17 years,"2023-24, Oklahoma: 13-17 years"
2024-25,AUG,22,40264,Alaska,0.0005,9-12 years,"2024-25, Alaska: 9-12 years"
2024-25,JAN,1035156,1812441,Michigan,0.5711,65+ years,"2024-25, Michigan: 65+ years"
2024-25,SEP,8513,302877,Missouri,0.0281,5-8 years,"2024-25, Missouri: 5-8 years"
2023-24,MAR,420,7700,Marshall Islands,0.0545,50-64 years,"2023-24, Marshall Islands: 50-64 years"
2023-24,MAR,1067281,2060818,New York State,0.5179,65+ years,"2023-24, New York (excluding New York City): 65+ years"
2023-24,MAR,2572110,9124576,Ohio,0.2819,18+ years,"2023-24, Ohio: 18+ years"
2023-24,OCT,29947,199448,Wisconsin,0.1501,2-4 years,"2023-24, Wisconsin: 2-4 years"
2023-24,OCT,,,Massachusetts,,6 months to 17 years,"2023-24, Massachusetts: 6 months to 17 years"
2024-25,AUG,4071,1478793,Utah,0.0028,18-49 years,"2024-25, Utah: 18-49 years"
2022-23,DEC,46376,105584.5,Maryland,0.4392,6-23 months,"2022-23, Maryland: 6-23 months"
2022-23,JUN,44101,553690.5,Puerto Rico,0.0796,6 months to 17 years,"2022-23, Puerto Rico: 6 months to 17 years"
2022-23,MAR,426281,770835,Kentucky,0.553,65+ years,"2022-23, Kentucky: 65+ years"
2022-23,NOV,,,Nebraska,,6-23 months,"2022-23, Nebraska: 6-23 months"
2022-23,OCT,,,New Hampshire,,18+ years,"2022-23, New Hampshire: 18+ years"
2023-24,JUN,596451,987352,Maryland,0.6041,65+ years,"2023-24, Maryland: 65+ years"
2023-24,OCT,184476,536306,Arkansas,0.344,65+ years,"2023-24, Arkansas: 65+ years"
2023-24,SEP,0,1992,Republic of Palau,0,65+ years,"2023-24, Republic of Palau: 65+ years"
2024-25,DEC,202397,620682,Vermont,0.3261,Overall,"2024-25, Vermont: Overall"
2024-25,JAN,127794,197594,Delaware,0.6468,65+ years,"2024-25, Delaware: 65+ years"
2024-25,NOV,145734,873539,Louisiana,0.1668,50-64 years,"2024-25, Louisiana: 50-64 years"
2024-25,NOV,67889,123141,North Dakota,0.5513,65+ years,"2024-25, North Dakota: 65+ years"
2022-23,APR,490830,2072888.5,Michigan,0.2368,6 months to 17 years,"2022-23, Michigan: 6 months to 17 years"
2022-23,APR,10419,25620,Vermont,0.4067,9-12 years,"2022-23, Vermont: 9-12 years"
2022-23,DEC,354407,1278598,Indiana,0.2772,50-64 years,"2022-23, Indiana: 50-64 years"
2022-23,JAN,2131,37396.5,Puerto Rico,0.057,6-23 months,"2022-23, Puerto Rico: 6-23 months"
2022-23,JUL,93,1414649,California,0.0001,2-4 years,"2022-23, California: 2-4 years"
2022-23,JUL,234,1180543,Tennessee,0.0002,65+ years,"2022-23, Tennessee: 65+ years"
2022-23,OCT,40158,247935,Vermont,0.162,18-49 years,"2022-23, Vermont: 18-49 years"
2023-24,DEC,65177,467559,Michigan,0.1394,5-8 years,"2023-24, Michigan: 5-8 years"
2023-24,JAN,3459,52373,Guam,0.066,6 months to 17 years,"2023-24, Guam: 6 months to 17 years"
2024-25,JUL,84,2522821,California,0,13-17 years,"2024-25, California: 13-17 years"
2024-25,OCT,5395,33304,Delaware,0.162,2-4 years,"2024-25, Delaware: 2-4 years"
2024-25,OCT,151682,760079.5,North Dakota,0.1996,Overall,"2024-25, North Dakota: Overall"
2022-23,JUN,150788,360714,New York City,0.418,9-12 years,"2022-23, New York City: 9-12 years"
2022-23,NOV,192114,672299,California,0.2858,6-23 months,"2022-23, California: 6-23 months"
2022-23,NOV,1231641,5373433,Tennessee,0.2292,18+ years,"2022-23, Tennessee: 18+ years"
2023-24,APR,204,3278,American Samoa,0.0622,65+ years,"2023-24, American Samoa: 65+ years"
2023-24,FEB,,,Kansas,,18+ years,"2023-24, Kansas: 18+ years"
2024-25,AUG,6089,2438002,Iowa,0.0025,18+ years,"2024-25, Iowa: 18+ years"
2024-25,DEC,147542,1661189,Oklahoma,0.0888,18-49 years,"2024-25, Oklahoma: 18-49 years"
2024-25,JAN,55192,163419,Connecticut,0.3377,9-12 years,"2024-25, Connecticut: 9-12 years"
2024-25,JUL,0,11986,Guam,0,9-12 years,"2024-25, Guam: 9-12 years"
2024-25,SEP,,,Virginia,,9-12 years,"2024-25, Virginia: 9-12 years"
2024-25,SEP,610302,7839742,Michigan,0.0778,18+ years,"2024-25, Michigan: 18+ years"
2022-23,FEB,,,Chicago,,18+ years,"2022-23, Chicago: 18+ years"
2022-23,JAN,1952426,5776181,Colorado,0.338,Overall,"2022-23, Colorado: Overall"
2022-23,JUL,431,1219345,Florida,0.0004,13-17 years,"2022-23, Florida: 13-17 years"
2022-23,JUL,34,816314,Illinois,0,13-17 years,"2022-23, Illinois: 13-17 years"
2022-23,MAR,397547,645996,Connecticut,0.6154,65+ years,"2022-23, Connecticut: 65+ years"
2022-23,MAY,238588,381593,Utah,0.6252,65+ years,"2022-23, Utah: 65+ years"
2024-25,OCT,0,2437453.5,Georgia,0,6 months to 17 years,"2024-25, Georgia: 6 months to 17 years"
2024-25,OCT,,,New Hampshire,,9-12 years,"2024-25, New Hampshire: 9-12 years"
2022-23,OCT,240081,1991746,California,0.1205,9-12 years,"2022-23, California: 9-12 years"
2023-24,MAY,3563,16061,Guam,0.2218,65+ years,"2023-24, Guam: 65+ years"
2024-25,DEC,,,New Hampshire,,5-8 years,"2024-25, New Hampshire: 5-8 years"
2024-25,JAN,58622,201301,Delaware,0.2912,50-64 years,"2024-25, Delaware: 50-64 years"
2024-25,NOV,19040,123698.5,Arizona,0.1539,6-23 months,"2024-25, Arizona: 6-23 months"
2024-25,OCT,334,3481,American Samoa,0.0959,5-8 years,"2024-25, American Samoa: 5-8 years"
2022-23,JAN,507736,1101973,Maine,0.4608,18+ years,"2022-23, Maine: 18+ years"
2022-23,JUN,,,Kansas,,18+ years,"2022-23, Kansas: 18+ years"
2023-24,APR,11775,33304,Delaware,0.3536,2-4 years,"2023-24, Delaware: 2-4 years"
2023-24,APR,595196,1344005,Maine,0.4429,Overall,"2023-24, Maine: Overall"
2023-24,DEC,37800,222571,Kentucky,0.1698,5-8 years,"2023-24, Kentucky: 5-8 years"
2023-24,MAR,675790,2438002,Iowa,0.2772,18+ years,"2023-24, Iowa: 18+ years"
2024-25,DEC,620899,3012504.5,Arkansas,0.2061,Overall,"2024-25, Arkansas: Overall"
2024-25,JUL,35,782153,Delaware,0,18+ years,"2024-25, Delaware: 18+ years"
2023-24,OCT,157445,1526214,Indiana,0.1032,6 months to 17 years,"2023-24, Indiana: 6 months to 17 years"
2023-24,OCT,100575,570423.5,Texas,0.1763,6-23 months,"2023-24, Texas: 6-23 months"
2023-24,SEP,65858,1190710,Missouri,0.0553,50-64 years,"2023-24, Missouri: 50-64 years"
2023-24,SEP,7444,130824,North Dakota,0.0569,50-64 years,"2023-24, North Dakota: 50-64 years"
2023-24,SEP,137707,2438002,Iowa,0.0565,18+ years,"2023-24, Iowa: 18+ years"
2024-25,DEC,3252793,17482580,Florida,0.1861,18+ years,"2024-25, Florida: 18+ years"
2022-23,FEB,38440,118179,Iowa,0.3253,2-4 years,"2022-23, Iowa: 2-4 years"
2022-23,NOV,12560,70468,Idaho,0.1782,2-4 years,"2022-23, Idaho: 2-4 years"
2022-23,OCT,365950,2707942,Illinois,0.1351,6 months to 17 years,"2022-23, Illinois: 6 months to 17 years"
2023-24,DEC,78934,274405,Colorado,0.2877,5-8 years,"2023-24, Colorado: 5-8 years"
2023-24,MAY,,,Massachusetts,,6 months to 17 years,"2023-24, Massachusetts: 6 months to 17 years"
2024-25,OCT,17448,242051,Louisiana,0.0721,5-8 years,"2024-25, Louisiana: 5-8 years"
2022-23,FEB,,,Hawaii,,5-8 years,"2022-23, Hawaii: 5-8 years"
2022-23,FEB,,,South Carolina,,65+ years,"2022-23, South Carolina: 65+ years"
2022-23,MAR,0,188755.5,Georgia,0,6-23 months,"2022-23, Georgia: 6-23 months"
2023-24,JAN,334786,1375870,Idaho,0.2433,18+ years,"2023-24, Idaho: 18+ years"
2023-24,JUN,18128,187055,Puerto Rico,0.0969,13-17 years,"2023-24, Puerto Rico: 13-17 years"
2024-25,AUG,25,15908.5,Delaware,0.0016,6-23 months,"2024-25, Delaware: 6-23 months"
2024-25,AUG,42,101371,Federated States of Micronesia,0.0004,Overall,"2024-25, Federated States of Micronesia: Overall"
2024-25,JUL,13,159658,Nevada,0.0001,9-12 years,"2024-25, Nevada: 9-12 years"
2022-23,APR,201849,962974,Alabama,0.2096,50-64 years,"2022-23, Alabama: 50-64 years"
2022-23,AUG,,,New Hampshire,,18-49 years,"2022-23, New Hampshire: 18-49 years"
2022-23,JUN,0,2015461,Georgia,0,50-64 years,"2022-23, Georgia: 50-64 years"
2022-23,NOV,49304,164468,South Dakota,0.2998,50-64 years,"2022-23, South Dakota: 50-64 years"
2023-24,DEC,329131,981560.5,Delaware,0.3353,Overall,"2023-24, Delaware: Overall"
2023-24,FEB,27939,79533.5,Kentucky,0.3513,6-23 months,"2023-24, Kentucky: 6-23 months"
2023-24,JUN,36879,75066,Maine,0.4913,13-17 years,"2023-24, Maine: 13-17 years"
2024-25,DEC,15668,133291,Idaho,0.1175,13-17 years,"2024-25, Idaho: 13-17 years"
2024-25,DEC,1850917,8832618,New Jersey,0.2096,Overall,"2024-25, New Jersey: Overall"
2024-25,SEP,7731,164468,South Dakota,0.047,50-64 years,"2024-25, South Dakota: 50-64 years"
2022-23,APR,51533,176399.5,North Dakota,0.2921,6 months to 17 years,"2022-23, North Dakota: 6 months to 17 years"
2022-23,JUL,7,72986,New Mexico,0.0001,2-4 years,"2022-23, New Mexico: 2-4 years"
2022-23,OCT,347756,2512075,Maryland,0.1384,18-49 years,"2022-23, Maryland: 18-49 years"
2022-23,OCT,1950781,8922762,Pennsylvania,0.2186,18+ years,"2022-23, Pennsylvania (excluding Philadelphia County): 18+ years"
2022-23,SEP,12804,479456,Arizona,0.0267,13-17 years,"2022-23, Arizona: 13-17 years"
2022-23,SEP,1841,26160,District of Columbia,0.0704,2-4 years,"2022-23, District of Columbia: 2-4 years"
2024-25,OCT,189323,1278598,Indiana,0.1481,50-64 years,"2024-25, Indiana: 50-64 years"
2023-24,APR,400266,1091861,Minnesota,0.3666,50-64 years,"2023-24, Minnesota: 50-64 years"
2023-24,AUG,2095,712915,Oklahoma,0.0029,50-64 years,"2023-24, Oklahoma: 50-64 years"
2023-24,DEC,116820,385957,New York City,0.3027,5-8 years,"2023-24, New York City: 5-8 years"
2023-24,DEC,55789,199407.5,Delaware,0.2798,6 months to 17 years,"2023-24, Delaware: 6 months to 17 years"
2023-24,DEC,0,4829.5,Republic of Palau,0,6 months to 17 years,"2023-24, Republic of Palau: 6 months to 17 years"
2023-24,FEB,112925,579166.5,Wyoming,0.195,Overall,"2023-24, Wyoming: Overall"
2022-23,AUG,0,188755.5,Georgia,0,6-23 months,"2022-23, Georgia: 6-23 months"
2022-23,AUG,39151,3177862.5,Puerto Rico,0.0123,Overall,"2022-23, Puerto Rico: Overall"
2022-23,FEB,71080,393013,Missouri,0.1809,13-17 years,"2022-23, Missouri: 13-17 years"
2022-23,JAN,,,Nebraska,,6-23 months,"2022-23, Nebraska: 6-23 months"
2022-23,JUN,85372,157177,South Dakota,0.5432,65+ years,"2022-23, South Dakota: 65+ years"
2022-23,MAR,1817924,6714728,Indiana,0.2707,Overall,"2022-23, Indiana: Overall"
2022-23,NOV,2307438,8789112,New York State,0.2625,18+ years,"2022-23, New York (excluding New York City): 18+ years"
2023-24,FEB,,,Hawaii,,5-8 years,"2023-24, Hawaii: 5-8 years"
2023-24,FEB,1278400,5373433,Tennessee,0.2379,18+ years,"2023-24, Tennessee: 18+ years"
2023-24,MAY,67193,199407.5,Delaware,0.337,6 months to 17 years,"2023-24, Delaware: 6 months to 17 years"
2023-24,MAY,11533,32606.5,Idaho,0.3537,6-23 months,"2023-24, Idaho: 6-23 months"
2024-25,AUG,7248,1334197,Nevada,0.0054,18-49 years,"2024-25, Nevada: 18-49 years"
2022-23,AUG,0,4812,Federated States of Micronesia,0,65+ years,"2022-23, Federated States of Micronesia: 65+ years"
2022-23,AUG,20858,5373433,Tennessee,0.0039,18+ years,"2022-23, Tennessee: 18+ years"
2022-23,DEC,,,Virginia,,6-23 months,"2022-23, Virginia: 6-23 months"
2022-23,JAN,75112,218503,Maryland,0.3438,2-4 years,"2022-23, Maryland: 2-4 years"
2022-23,JAN,157680,587166,Nevada,0.2685,50-64 years,"2022-23, Nevada: 50-64 years"
2022-23,MAR,61242,247042,Tennessee,0.2479,2-4 years,"2022-23, Tennessee: 2-4 years"
2023-24,JUL,0,36097,Marshall Islands,0,18-49 years,"2023-24, Marshall Islands: 18-49 years"
2023-24,JUL,111,3834249,Alabama,0,18+ years,"2023-24, Alabama: 18+ years"
2023-24,JUN,144680,515686,Pennsylvania,0.2806,9-12 years,"2023-24, Pennsylvania (excluding Philadelphia County): 9-12 years"
2023-24,OCT,24336,260352,Arizona,0.0935,2-4 years,"2023-24, Arizona: 2-4 years"
2024-25,JUL,0,199448,Wisconsin,0,2-4 years,"2024-25, Wisconsin: 2-4 years"
2024-25,SEP,4774,178339,Alabama,0.0268,2-4 years,"2024-25, Alabama: 2-4 years"
2022-23,SEP,953,52303,Montana,0.0182,9-12 years,"2022-23, Montana: 9-12 years"
2023-24,APR,,,Kansas,,18-49 years,"2023-24, Kansas: 18-49 years"
2023-24,APR,,,Virginia,,18-49 years,"2023-24, Virginia: 18-49 years"
2023-24,JAN,26973,79533.5,Kentucky,0.3391,6-23 months,"2023-24, Kentucky: 6-23 months"
2023-24,JAN,1068,3754,N. Mariana Islands,0.2845,65+ years,"2023-24, N. Mariana Islands: 65+ years"
2023-24,JUL,8,301827,Louisiana,0,13-17 years,"2023-24, Louisiana: 13-17 years"
2022-23,JAN,3374199,11026194,New York State,0.306,Overall,"2022-23, New York (excluding New York City): Overall"
2022-23,JUL,0,49666,Federated States of Micronesia,0,18-49 years,"2022-23, Federated States of Micronesia: 18-49 years"
2022-23,MAR,751,20418,American Samoa,0.0368,18-49 years,"2022-23, American Samoa: 18-49 years"
2022-23,MAR,369,1139.5,N. Mariana Islands,0.3237,6-23 months,"2022-23, N. Mariana Islands: 6-23 months"
2022-23,SEP,0,735062,Georgia,0,13-17 years,"2022-23, Georgia: 13-17 years"
2023-24,AUG,,,Kansas,,2-4 years,"2023-24, Kansas: 2-4 years"
2024-25,JUL,10,383258,Delaware,0,18-49 years,"2024-25, Delaware: 18-49 years"
2024-25,NOV,437520,2095031,New Mexico,0.2088,Overall,"2024-25, New Mexico: Overall"
2023-24,AUG,0,547437,Georgia,0,5-8 years,"2023-24, Georgia: 5-8 years"
2023-24,AUG,1749,784957,Oregon,0.0022,50-64 years,"2023-24, Oregon: 50-64 years"
2023-24,DEC,0,355.5,Republic of Palau,0,6-23 months,"2023-24, Republic of Palau: 6-23 months"
2023-24,MAR,2153284,8567802,California,0.2513,6 months to 17 years,"2023-24, California: 6 months to 17 years"
2024-25,AUG,348,71006.5,Utah,0.0049,6-23 months,"2024-25, Utah: 6-23 months"
2024-25,AUG,11578,2320603,Utah,0.005,18+ years,"2024-25, Utah: 18+ years"
2022-23,JAN,12014,42112,North Dakota,0.2853,5-8 years,"2022-23, North Dakota: 5-8 years"
2023-24,AUG,,,Chicago,,13-17 years,"2023-24, Chicago: 13-17 years"
2024-25,JAN,472949,2522821,California,0.1875,13-17 years,"2024-25, California: 13-17 years"
2024-25,JAN,,,Nebraska,,2-4 years,"2024-25, Nebraska: 2-4 years"
2024-25,JUL,,,Kansas,,Overall,"2024-25, Kansas: Overall"
2024-25,OCT,291717,2056433,North Carolina,0.1419,50-64 years,"2024-25, North Carolina: 50-64 years"
2024-25,OCT,,,Alabama,,65+ years,"2024-25, Alabama: 65+ years"
2022-23,APR,,,South Carolina,,50-64 years,"2022-23, South Carolina: 50-64 years"
2022-23,JAN,501072,1415568,Washington,0.354,50-64 years,"2022-23, Washington: 50-64 years"
2022-23,JUN,36635,133827,Alaska,0.2737,50-64 years,"2022-23, Alaska: 50-64 years"
2022-23,JUN,,,Chicago,,9-12 years,"2022-23, Chicago: 9-12 years"
2022-23,JUN,878,21412.5,Republic of Palau,0.041,Overall,"2022-23, Republic of Palau: Overall"
2022-23,MAY,70118,199407.5,Delaware,0.3516,6 months to 17 years,"2022-23, Delaware: 6 months to 17 years"
2024-25,DEC,1028,7726,Federated States of Micronesia,0.1331,5-8 years,"2024-25, Federated States of Micronesia: 5-8 years"
2024-25,JUL,20,566136,Iowa,0,65+ years,"2024-25, Iowa: 65+ years"
2024-25,NOV,98899,434609,New Jersey,0.2276,9-12 years,"2024-25, New Jersey: 9-12 years"
2023-24,APR,1533099,4721883,Maryland,0.3247,18+ years,"2023-24, Maryland: 18+ years"
2023-24,JAN,,,Houston,,18+ years,"2023-24, Houston: 18+ years"
