Week Ending,COVID-19_Season,Estimate,MMWR_Year,MMWR_Week,Enrollment Date,As of date,Race and ethnicity,Current_Season_Week_Ending_Label
06/15/2024 12:00:00 AM,2023-2024,12.11,2024,24,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-06-14
06/22/2024 12:00:00 AM,2023-2024,12.13,2024,25,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-06-21
06/29/2024 12:00:00 AM,2023-2024,12.16,2024,26,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-06-28
07/06/2024 12:00:00 AM,2023-2024,12.18,2024,27,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-07-05
07/13/2024 12:00:00 AM,2023-2024,12.2,2024,28,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-07-12
07/20/2024 12:00:00 AM,2023-2024,12.22,2024,29,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-07-19
07/27/2024 12:00:00 AM,2023-2024,12.25,2024,30,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-07-26
08/03/2024 12:00:00 AM,2023-2024,12.27,2024,31,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-08-02
08/10/2024 12:00:00 AM,2023-2024,12.28,2024,32,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-08-09
08/17/2024 12:00:00 AM,2023-2024,12.29,2024,33,08/17/2024 12:00:00 AM,09/16/2024 12:00:00 AM,Hispanic,2025-08-16
09/07/2024 12:00:00 AM,2024-2025,2.53,2024,36,08/01/2024 12:00:00 AM,,Overall,2024-09-07
09/14/2024 12:00:00 AM,2024-2025,4.79,2024,37,08/01/2024 12:00:00 AM,,Overall,2024-09-14
09/21/2024 12:00:00 AM,2024-2025,7.3,2024,38,08/01/2024 12:00:00 AM,,Overall,2024-09-21
09/28/2024 12:00:00 AM,2024-2025,9.99,2024,39,08/01/2024 12:00:00 AM,,Overall,2024-09-28
09/07/2024 12:00:00 AM,2024-2025,0.839,2024,36,08/01/2024 12:00:00 AM,,Hispanic,2024-09-07
09/14/2024 12:00:00 AM,2024-2025,1.64,2024,37,08/01/2024 12:00:00 AM,,Hispanic,2024-09-14
09/21/2024 12:00:00 AM,2024-2025,2.55,2024,38,08/01/2024 12:00:00 AM,,Hispanic,2024-09-21
09/28/2024 12:00:00 AM,2024-2025,3.52,2024,39,08/01/2024 12:00:00 AM,,Hispanic,2024-09-28
10/12/2024 12:00:00 AM,2024-2025,15.25,2024,41,08/01/2024 12:00:00 AM,,Overall,2024-10-12
10/19/2024 12:00:00 AM,2024-2025,17.61,2024,42,08/01/2024 12:00:00 AM,,Overall,2024-10-19
10/05/2024 12:00:00 AM,2024-2025,12.72,2024,40,08/01/2024 12:00:00 AM,,Overall,2024-10-05
10/05/2024 12:00:00 AM,2024-2025,4.55,2024,40,08/01/2024 12:00:00 AM,,Hispanic,2024-10-05
10/12/2024 12:00:00 AM,2024-2025,5.49,2024,41,08/01/2024 12:00:00 AM,,Hispanic,2024-10-12
10/26/2024 12:00:00 AM,2024-2025,19.58,2024,43,08/01/2024 12:00:00 AM,,Overall,2024-10-26
10/19/2024 12:00:00 AM,2024-2025,6.38,2024,42,08/01/2024 12:00:00 AM,,Hispanic,2024-10-19
10/26/2024 12:00:00 AM,2024-2025,7.18,2024,43,08/01/2024 12:00:00 AM,,Hispanic,2024-10-26
